Id,Nombre,URI_Estacion,COD_VIA,COD_POSTAL,URI_Direccion,Localidad,Region,DIRECCION,Longitud_gms,Latitud_gms,LATITUD_ED50,LONGITUD_ED50,Alt.(m),Fecha alta,Coordenada_X_ETRS89,Coordenada_Y_ETRS89,LONGITUD_WGS84,LATITUD_WGS84
1,Paseo Recoletos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/paseo-recoletos,633005,28004,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/paseo-recoletos,Madrid,Comunidad de Madrid,Paseo Recoletos,3º41'27'' Oº,40º25'24'' N,40.4233333333333,-3.69083333333333,648,40609,"441302,8676","4474895,436",-3.6919264,40.42262
2,Carlos V,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/plaza-carlos-v,264800,28012,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/carlos-v,Madrid,Comunidad de Madrid,Plaza Carlos V,3º41'25 Oº,"40º24'36"" N",40.41,-3.69027777777778,629,36130,"441328,186","4473395,505",-3.6914896,40.4091095
3,Plaza del Carmen,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/plaza-del-carmen,145800,28013,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/plaza-del-carmen,Madrid,Comunidad de Madrid,Plaza Del Carmen,"3º42'17"" Oº","40º25'16"" N",40.4211111111111,-3.70472222222222,657,36465,"440346,3619","4474524,357",-3.7031662,40.4192091
4,Plaza de España,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/plaza-de-españa,273600,28008,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/plaza-de-españa,Madrid,Comunidad de Madrid,Plaza De España,"3º42'40"" Oº","40º25'40"" N",40.4277777777778,-3.71111111111111,637,36130,"439579,3291","4475049,263",-3.7122567,40.4238823
5,Barrio del Pilar,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/barrio-del-pilar,514425,28029,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/barrio-del-pilar,Madrid,Comunidad de Madrid,Avenida De Monforte De Lemos,"3º42'55"" Oº","40º28'37"" N",40.4769444444444,-3.71527777777778,673,36318,"439689,0496","4481081,619",-3.7115364,40.4782322
6,Gregorio Marañón,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/gregorio-marañón,153600,28010,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/gregorio-marañón,Madrid,Comunidad de Madrid,Paseo De La Castellana,"3º41'22"" Oº","40º26'33"" N",40.4425,-3.68944444444444,669,36312,"441412,6622","4476553,971",-3.6907851,40.4375685
8,Escuelas Aguirre,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/escuelas-aguirre,18900,28009,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/escuelas-aguirre,Madrid,Comunidad de Madrid,Calle De Alcala,"3º40'52"" Oº","40º25'32"" N",40.4255555555556,-3.68111111111111,672,36130,"442117,2366","4474770,696",-3.6823158,40.4215533
10,Cuatro Caminos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/cuatro-caminos,554550,28003,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/cuatro-caminos,Madrid,Comunidad de Madrid,Avenida De Pablo Iglesias,"3º42'18"" Oº","40º26'38"" N",40.4438888888889,-3.705,699,36244,"440033,4632","4477450,211",-3.7071303,40.4455439
11,Ramón y Cajal,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/ramón-y-cajal,610450,28002,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/ramón-y-cajal,Madrid,Comunidad de Madrid,Calle Del Principe De Vergara,"3º40'33"" Oº","40º27' 9"" N",40.4525,-3.67583333333333,708,36130,"442564,0457","4478088,595",-3.6773491,40.4514734
12,Manuel Becerra,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacionmedida/manuel-becerra,242000,28028,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/manuel-becerra,Madrid,Comunidad de Madrid,Calle Del Doctor Gomez Ulla,"3º40'02"" Oº","40º25'52"" N",40.4311111111111,-3.66722222222222,678,36130,"443289,3624","4475567,373",-3.6685709,40.4288108
