NMT; anio; mes; dia; tipo; LAEQ; LAS01; LAS10; LAS50; LAS90; LAS99
1;2021;1;1; T; 063.3; 070.9; 067.5; 058.7; 049.2; 041.2
2;2021;1;1; T; 066.0; 072.3; 068.6; 063.9; 056.7; 051.2
3;2021;1;1; T; 066.7; 067.9; 057.4; 048.6; 041.3; 038.3
5;2021;1;1; T; 065.0; 071.1; 062.2; 056.0; 041.1; 037.1
6;2021;1;1; T; 065.6; 072.9; 068.5; 061.8; 051.3; 040.5
8;2021;1;1; T; 063.5; 070.6; 066.7; 061.8; 055.3; 049.0
10;2021;1;1; T; 065.3; 072.0; 064.8; 055.7; 047.1; 045.7
11;2021;1;1; T; 065.1; 072.4; 068.2; 060.2; 044.6; 037.5
12;2021;1;1; T; 062.9; 070.9; 062.2; 056.8; 047.2; 037.7
13;2021;1;1; T; 073.8; 075.2; 059.3; 049.9; 040.0; 035.4
14;2021;1;1; T; 063.0; 071.2; 064.7; 060.3; 052.3; 045.1
16;2021;1;1; T; 061.1; 069.8; 064.7; 054.7; 038.1; 034.1
17;2021;1;1; T; 066.9; 073.1; 056.8; 049.4; 040.5; 036.2
18;2021;1;1; T; 080.9; 079.6; 057.0; 047.1; 041.3; 039.3
19;2021;1;1; T; 058.4; 067.3; 060.3; 052.5; 042.5; 032.8
20;2021;1;1; T; 061.0; 069.2; 061.4; 055.1; 041.1; 037.2
24;2021;1;1; T; 046.7; 057.4; 048.8; 041.7; 037.8; 036.2
25;2021;1;1; T; 065.1; 070.5; 067.4; 064.0; 053.5; 036.6
26;2021;1;1; T; 057.8; 068.2; 061.7; 052.9; 044.4; 034.4
27;2021;1;1; T; 070.6; 066.0; 057.4; 047.3; 038.8; 034.2
28;2021;1;1; T; 064.5; 074.2; 068.9; 057.6; 040.7; 036.5
29;2021;1;1; T; 056.5; 066.2; 061.0; 048.7; 034.4; 032.0
30;2021;1;1; T; 057.2; 066.8; 059.9; 051.6; 040.8; 036.6
