id,time,poi,Ln,Ln_num_values,Le,Le_num_values,Ld,Ld_num_values,Lden,Lden_num_values,created_at
4469,30/06/2015,Calle Andrómeda 7,61.0,480,65.8,240,62.7,720,68.6,1440,2015-07-01 07:20:08.663020+00:00
4456,29/06/2015,Calle Andrómeda 7,61.5,480,64.0,240,62.4,720,68.4,1440,2015-06-30 07:20:09.386861+00:00
4443,28/06/2015,Calle Andrómeda 7,62.9,480,63.8,240,60.1,720,69.2,1440,2015-06-29 07:20:08.906024+00:00
4430,27/06/2015,Calle Andrómeda 7,64.4,480,64.9,240,61.7,720,70.6,1440,2015-06-28 07:20:09.494828+00:00
4280,25/06/2015,Calle Andrómeda 7,63.2,369,67.4,240,63.8,722,70.1,1331,2015-06-26 13:56:16.373236+00:00
4279,24/06/2015,Calle Andrómeda 7,60.8,476,65.7,240,63.3,720,68.5,1436,2015-06-26 13:56:16.357897+00:00
4278,23/06/2015,Calle Andrómeda 7,59.6,480,64.0,240,62.4,720,67.2,1440,2015-06-26 13:56:16.342526+00:00
4277,22/06/2015,Calle Andrómeda 7,58.9,480,63.6,240,63.9,720,67.0,1440,2015-06-26 13:56:16.326900+00:00
4276,21/06/2015,Calle Andrómeda 7,60.9,480,65.9,240,61.1,720,68.3,1440,2015-06-26 13:56:16.311667+00:00
4275,20/06/2015,Calle Andrómeda 7,64.7,480,66.4,240,63.1,720,71.2,1440,2015-06-26 13:56:16.296023+00:00
4274,19/06/2015,Calle Andrómeda 7,64.7,480,68.7,240,63.1,720,71.7,1440,2015-06-26 13:56:16.280698+00:00
4273,18/06/2015,Calle Andrómeda 7,61.3,480,65.9,243,63.8,720,68.9,1443,2015-06-26 13:56:16.264973+00:00
4272,17/06/2015,Calle Andrómeda 7,58.4,480,63.9,240,62.5,720,66.5,1440,2015-06-26 13:56:16.249519+00:00
4271,16/06/2015,Calle Andrómeda 7,60.2,480,64.3,240,62.1,718,67.6,1438,2015-06-26 13:56:16.233836+00:00
4270,15/06/2015,Calle Andrómeda 7,56.9,480,64.9,240,63.6,720,66.4,1440,2015-06-26 13:56:16.217922+00:00
4269,14/06/2015,Calle Andrómeda 7,59.5,480,64.9,240,61.6,720,67.2,1440,2015-06-26 13:56:16.202291+00:00
4268,13/06/2015,Calle Andrómeda 7,64.2,480,65.4,240,62.2,720,70.6,1440,2015-06-26 13:56:16.186626+00:00
4267,12/06/2015,Calle Andrómeda 7,66.8,480,67.3,240,64.3,720,73.1,1440,2015-06-26 13:56:16.171373+00:00
4266,11/06/2015,Calle Andrómeda 7,63.5,480,67.5,240,63.7,720,70.7,1440,2015-06-26 13:56:16.156152+00:00
4265,10/06/2015,Calle Andrómeda 7,59.9,480,66.4,240,65.6,720,68.7,1440,2015-06-26 13:56:16.140782+00:00
4264,09/06/2015,Calle Andrómeda 7,59.5,480,64.6,240,63.3,720,67.4,1440,2015-06-26 13:56:16.125523+00:00
4263,08/06/2015,Calle Andrómeda 7,57.7,476,67.1,240,64.9,720,68.0,1436,2015-06-26 13:56:16.109946+00:00
4262,07/06/2015,Calle Andrómeda 7,62.1,480,67.4,240,61.1,720,69.5,1440,2015-06-26 13:56:16.094873+00:00
4261,06/06/2015,Calle Andrómeda 7,63.6,480,66.3,240,62.6,720,70.3,1440,2015-06-26 13:56:16.078546+00:00
4260,05/06/2015,Calle Andrómeda 7,66.0,480,68.3,240,63.3,723,72.5,1443,2015-06-26 13:56:16.063283+00:00
4259,04/06/2015,Calle Andrómeda 7,63.7,480,65.9,240,63.2,720,70.4,1440,2015-06-26 13:56:16.048061+00:00
4258,03/06/2015,Calle Andrómeda 7,61.6,480,65.0,240,62.3,720,68.6,1440,2015-06-26 13:56:16.033008+00:00
4257,02/06/2015,Calle Andrómeda 7,61.4,480,66.0,240,62.7,722,68.8,1442,2015-06-26 13:56:16.017873+00:00
4256,01/06/2015,Calle Andrómeda 7,57.2,480,63.3,240,63.4,720,66.0,1440,2015-06-26 13:56:16.002287+00:00
4255,31/05/2015,Calle Andrómeda 7,58.8,480,64.1,240,62.1,720,66.7,1440,2015-06-26 13:56:15.986528+00:00
4254,30/05/2015,Calle Andrómeda 7,64.3,480,67.7,240,62.6,720,71.1,1440,2015-06-26 13:56:15.971073+00:00
4253,29/05/2015,Calle Andrómeda 7,65.6,480,68.3,240,64.2,720,72.3,1440,2015-06-26 13:56:15.955686+00:00
4252,28/05/2015,Calle Andrómeda 7,61.7,480,67.4,240,63.2,720,69.5,1440,2015-06-26 13:56:15.940418+00:00
4251,26/05/2015,Calle Andrómeda 7,57.2,480,63.2,240,62.7,720,65.8,1440,2015-06-26 13:56:15.920031+00:00
4250,25/05/2015,Calle Andrómeda 7,57.0,480,63.9,240,64.5,720,66.4,1440,2015-06-26 13:56:15.904998+00:00
4249,24/05/2015,Calle Andrómeda 7,58.1,480,67.3,240,61.4,720,67.6,1440,2015-06-26 13:56:15.890136+00:00
4248,23/05/2015,Calle Andrómeda 7,63.9,480,66.6,240,62.6,714,70.7,1434,2015-06-26 13:56:15.875215+00:00
4247,22/05/2015,Calle Andrómeda 7,64.5,480,67.1,240,62.9,721,71.2,1441,2015-06-26 13:56:15.860147+00:00
4246,21/05/2015,Calle Andrómeda 7,61.8,480,68.0,240,62.8,720,69.7,1440,2015-06-26 13:56:15.844650+00:00
4245,20/05/2015,Calle Andrómeda 7,58.5,480,65.5,240,63.5,720,67.3,1440,2015-06-26 13:56:15.829738+00:00
4244,19/05/2015,Calle Andrómeda 7,60.1,480,64.1,240,64.0,720,67.8,1440,2015-06-26 13:56:15.814388+00:00
4243,18/05/2015,Calle Andrómeda 7,57.8,480,65.8,240,63.1,720,67.0,1440,2015-06-26 13:56:15.799502+00:00
4242,17/05/2015,Calle Andrómeda 7,60.9,480,64.5,240,61.3,694,68.0,1414,2015-06-26 13:56:15.784443+00:00
