_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-11-18T13:40:52.283Z,/sonometros,NoiseLevelObserved,T248669-daily,61.5,63.3,63.5,59.6,53.5,2020-11-17
2,2020-11-19T00:00:16.670Z,/sonometros,NoiseLevelObserved,T248669-daily,60.5,62.1,63.3,60.8,54.2,2020-11-18
3,2020-11-20T00:00:33.641Z,/sonometros,NoiseLevelObserved,T248669-daily,60.9,62.6,63.4,60.8,53.8,2020-11-19
4,2020-11-21T00:00:35.743Z,/sonometros,NoiseLevelObserved,T248669-daily,61.2,62.5,64.6,62.5,56.2,2020-11-20
5,2020-11-22T00:00:39.69Z,/sonometros,NoiseLevelObserved,T248669-daily,61.8,62.7,65.4,65.2,56.6,2020-11-21
6,2020-11-23T00:00:41.188Z,/sonometros,NoiseLevelObserved,T248669-daily,58.6,59.9,61.8,60.3,52.9,2020-11-22
7,2020-11-24T00:00:50.107Z,/sonometros,NoiseLevelObserved,T248669-daily,60.9,62.7,62.9,59.4,52.8,2020-11-23
8,2020-11-25T00:00:50.729Z,/sonometros,NoiseLevelObserved,T248669-daily,60.3,62.1,62.7,58.8,53.3,2020-11-24
9,2020-11-26T00:00:54.351Z,/sonometros,NoiseLevelObserved,T248669-daily,61.9,63.5,65.0,60.6,56.6,2020-11-25
10,2020-09-18 12:40:17.154,/sonometros,NoiseLevelObserved,T248669-daily,61.4,62.8,64.4,62.1,55.7,2020-09-17
11,2020-09-19 00:00:26.972,/sonometros,NoiseLevelObserved,T248669-daily,62.1,62.5,65.9,67.2,56.4,2020-09-18
12,2020-09-20 00:00:28.879,/sonometros,NoiseLevelObserved,T248669-daily,60.6,60.8,65.3,64.9,57.5,2020-09-19
13,2020-09-21 00:00:31.290,/sonometros,NoiseLevelObserved,T248669-daily,59.2,58.4,64.9,64.5,57.6,2020-09-20
14,2020-09-22 00:00:34.135,/sonometros,NoiseLevelObserved,T248669-daily,61.3,62.9,63.8,61.1,54.3,2020-09-21
15,2020-09-23 00:00:37.386,/sonometros,NoiseLevelObserved,T248669-daily,60.6,62.2,63.1,60.4,53.8,2020-09-22
16,2020-09-24 00:00:41.187,/sonometros,NoiseLevelObserved,T248669-daily,60.1,61.7,63,60,54.1,2020-09-23
17,2020-09-25 00:00:43.1,/sonometros,NoiseLevelObserved,T248669-daily,60.9,62.5,63.3,61,53.7,2020-09-24
18,2020-09-26 00:00:45.898,/sonometros,NoiseLevelObserved,T248669-daily,60.3,61.6,63.7,61.5,55.2,2020-09-25
19,2020-09-27 00:00:47.167,/sonometros,NoiseLevelObserved,T248669-daily,60.1,61.1,64.5,61,57.1,2020-09-26
20,2020-09-28 00:00:50.803,/sonometros,NoiseLevelObserved,T248669-daily,58.6,59.6,62.9,59.2,55.6,2020-09-27
21,2020-09-29 00:00:52.462,/sonometros,NoiseLevelObserved,T248669-daily,60.2,61.9,62.4,59,52.8,2020-09-28
