gid,tipo_insta,estado,tipo_estac,calle_1,num_calle1,calle_2,num_calle2,calle_3,num_calle3,num_instal,num_zona,num_centra,fecha,orden_trab,observacio,armario_es,armario_de,columna800,detector,central_de,proteccion,arrancador,icp_amperi,dif_amperi,rotacion,OID_,N?®MERO,D?ûA,TARDE,NOCHE,IMD
250,EA,Instalado,Anual,RONDA DE BOLTA?âÔÇÿA,,"HUESCA, CARRETERA DE",,CALLE LA FRAGUA,,571,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,540,571,"0,06330","0,04940","0,00530","5845,00000"
251,EA,Instalado,Anual,RONDA DE BOLTA?âÔÇÿA,,CALLE LA FRAGUA,,"HUESCA, CARRETERA DE",,572,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,541,572,"0,06230","0,04390","0,00960","5649,00000"
252,EA,Instalado,Anual,AVENIDA ACADEMIA GENERAL MILITAR,,AVENIDA LAS MAJAS DE GOYA,,"HUESCA, CARRETERA DE",,578,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,547,578,"0,06450","0,04000","0,00830","9428,00000"
253,EA,Instalado,Anual,AVENIDA ACADEMIA GENERAL MILITAR,,"HUESCA, CARRETERA DE",,AVENIDA LAS MAJAS DE GOYA,,577,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,546,577,"0,06400","0,04750","0,00530","7864,00000"
254,EA,Instalado,Anual,AVENIDA LAS MAJAS DE GOYA,,AVENIDA ACADEMIA GENERAL MILITAR,,"HUESCA, CARRETERA DE",,575,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,544,575,"0,06040","0,05660","0,00600","1648,00000"
255,EA,Instalado,Anual,AVENIDA LAS MAJAS DE GOYA,,"HUESCA, CARRETERA DE",,AVENIDA ACADEMIA GENERAL MILITAR,,576,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,545,576,"0,06670","0,03340","0,00820","2630,00000"
256,EA,Instalado,Anual,AVENIDA LAS MAJAS DE GOYA,,"HUESCA, CARRETERA DE",,PASEO RAFAEL ESTEVE VILELLA,,573,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,542,573,"0,06250","0,05030","0,00610","2431,00000"
257,EA,Instalado,Anual,AVENIDA LAS MAJAS DE GOYA,,PASEO RAFAEL ESTEVE VILELLA,,"HUESCA, CARRETERA DE",,574,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,543,574,"0,06560","0,03780","0,00770","3027,00000"
258,EA,Instalado,Anual,AVENIDA LAS MAJAS DE GOYA,,CALLE JULIAN GALLEGO,,RONDA DE BOLTA?âÔÇÿA,,563,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,0,,"0,00000","0,00000","0,00000","0,00000"
259,EA,Instalado,Anual,AVENIDA LAS MAJAS DE GOYA,,RONDA DE BOLTA?âÔÇÿA,,CALLE JULIAN GALLEGO,,564,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,0,,"0,00000","0,00000","0,00000","0,00000"
260,EA,Instalado,Anual,RONDA DE BOLTA?âÔÇÿA,,AVENIDA LAS MAJAS DE GOYA,,CALLE LUCIANO GRACIA,,569,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,538,569,"0,06760","0,03710","0,00500","4159,00000"
261,EA,Instalado,Anual,RONDA DE BOLTA?âÔÇÿA,,CALLE LUCIANO GRACIA,,AVENIDA LAS MAJAS DE GOYA,,570,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,539,570,"0,06020","0,05820","0,00560","5390,00000"
262,EA,Instalado,Anual,CALLE ZARAGOZA JUSLIBOL,,RONDA DE BOLTA?âÔÇÿA,,CALLE HERRERIA JUSLIBOL,,561,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,532,561,"0,06240","0,04840","0,00720","1823,00000"
263,EA,Instalado,Anual,CALLE ZARAGOZA JUSLIBOL,,CALLE HERRERIA JUSLIBOL,,RONDA DE BOLTA?âÔÇÿA,,562,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,533,562,"0,06100","0,05300","0,00700","2171,00000"
264,EA,Instalado,Anual,CALLE LUCIANO GRACIA,,RONDA DE BOLTA?âÔÇÿA,,CALLE MARIANO ESQUILLOR GOMEZ,,567,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,536,567,"0,06700","0,04120","0,00390","4269,00000"
265,EA,Instalado,Anual,CALLE LUCIANO GRACIA,,CALLE MARIANO ESQUILLOR GOMEZ,,RONDA DE BOLTA?âÔÇÿA,,568,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,537,568,"0,05940","0,06180","0,00500","4950,00000"
266,EA,Instalado,Anual,RONDA DE BOLTA?âÔÇÿA,,CALLE LUCIANO GRACIA,,AVENIDA RANILLAS,,560,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,531,560,"0,06360","0,05030","0,00450","3452,00000"
267,EA,Instalado,Anual,RONDA DE BOLTA?âÔÇÿA,,AVENIDA RANILLAS,,CALLE LUCIANO GRACIA,,559,0,0,27/10/2015,,,0,0,0,0,0,0,0,,,0,530,559,"0,06660","0,04110","0,00450","3922,00000"
