NMT;anio;mes;dia;tipo;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99
2;2020;1;1;T;68,2;75,0;70,2;66,6;61,4;58,1
3;2020;1;1;T;62,7;71,8;63,9;56,4;50,6;47,2
5;2020;1;1;T;74,4;75,3;62,9;57,3;51,6;47,1
6;2020;1;1;T;68,4;75,8;72,0;65,7;59,2;53,6
8;2020;1;1;T;64,3;71,5;67,6;62,3;55,5;48,6
10;2020;1;1;T;65,1;72,0;66,3;58,0;50,7;45,6
11;2020;1;1;T;65,2;72,1;68,1;62,2;54,3;49,2
12;2020;1;1;T;62,5;71,2;62,3;57,9;52,5;48,4
13;2020;1;1;T;77,2;85,3;61,2;54,1;51,1;50,1
14;2020;1;1;T;73,9;76,8;65,5;61,2;56,1;52,7
16;2020;1;1;T;61,5;68,8;64,5;57,4;44,6;41,3
17;2020;1;1;T;71,2;80,3;62,8;51,6;45,8;43,7
18;2020;1;1;T;81,0;87,8;60,1;49,9;44,2;42,2
19;2020;1;1;T;67,9;73,2;62,4;54,7;47,7;44,3
20;2020;1;1;T;65,9;75,9;62,5;55,9;49,5;44,9
24;2020;1;1;T;52,0;64,0;53,1;46,7;43,9;42,5
25;2020;1;1;T;66,7;70,2;67,8;65,0;60,0;55,4
26;2020;1;1;T;63,9;72,3;67,3;61,0;56,5;54,0
27;2020;1;1;T;62,4;71,9;64,1;53,9;47,0;43,7
28;2020;1;1;T;67,4;74,7;70,1;60,4;47,6;42,9
29;2020;1;1;T;55,7;65,0;59,7;49,0;39,1;33,9
30;2020;1;1;T;57,3;67,4;60,1;52,5;46,6;44,8
31;2020;1;1;T;62,3;73,0;63,2;51,4;45,5;41,3
47;2020;1;1;T;56,0;67,6;54,9;45,8;42,4;39,7
48;2020;1;1;T;61,6;67,8;63,3;59,6;53,4;49,3
50;2020;1;1;T;65,1;73,0;65,9;61,6;56,7;53,4
54;2020;1;1;T;68,7;79,6;63,2;56,2;48,1;44,0
55;2020;1;1;T;65,5;66,0;57,8;50,7;46,7;44,0
86;2020;1;1;T;63,4;70,7;59,0;48,0;40,7;38,8
2;2020;1;1;D;67,0;72,6;69,4;65,6;60,5;57,4
3;2020;1;1;D;58,5;68,5;61,0;54,5;49,5;46,7
5;2020;1;1;D;60,3;66,9;61,6;57,3;52,7;48,7
6;2020;1;1;D;67,7;74,7;71,1;64,7;57,9;52,7
8;2020;1;1;D;63,5;70,8;66,7;61,5;54,3;48,1
10;2020;1;1;D;62,0;71,2;65,5;57,1;50,4;45,4
11;2020;1;1;D;64,7;70,8;67,5;61,5;54,2;49,5
12;2020;1;1;D;60,2;67,4;61,8;57,4;52,4;48,8
13;2020;1;1;D;60,1;62,9;57,2;52,9;50,9;50,1
14;2020;1;1;D;65,9;73,3;64,7;60,9;55,7;52,5
16;2020;1;1;D;60,8;67,0;63,7;56,1;43,6;41,0
17;2020;1;1;D;58,5;65,3;56,8;50,6;45,9;43,5
18;2020;1;1;D;59,2;66,3;57,4;49,6;43,8;41,7
19;2020;1;1;D;58,5;65,8;60,6;53,4;46,8;43,8
20;2020;1;1;D;58,3;65,0;60,0;55,1;48,3;44,5
24;2020;1;1;D;49,4;56,7;51,5;47,3;44,6;43,1
25;2020;1;1;D;65,1;68,9;67,5;64,8;59,9;55,1
27;2020;1;1;D;62,1;71,8;64,1;53,7;46,3;43,1
28;2020;1;1;D;65,7;74,3;69,9;60,2;47,7;43,8
29;2020;1;1;D;56,0;64,9;60,3;51,0;42,8;36,8
30;2020;1;1;D;55,8;64,0;59,4;52,6;47,4;45,7
31;2020;1;1;D;58,8;71,1;61,6;49,7;43,8;40,6
47;2020;1;1;D;49,7;58,9;51,4;44,7;41,7;39,1
48;2020;1;1;D;59,7;65,8;62,6;58,5;52,6;48,7
50;2020;1;1;D;63,8;70,3;65,1;61,0;56,4;53,4
54;2020;1;1;D;57,4;65,6;61,0;54,5;46,9;43,0
55;2020;1;1;D;53,8;62,6;56,8;50,4;46,3;43,3
86;2020;1;1;D;53,6;64,5;57,3;47,3;41,0;39,1
