Id,Nombre,URI_Direccion,URI_Estacion,URI_DireccionEstacion,COD_VIA,COD_POSTAL,Localidad,Region,DIRECCION,Longitud_gms,Latitud_gms,LATITUD_ED50,LONGITUD_ED50,Alt.(m),Fecha alta,Coordenada_X_ETRS89,Coordenada_Y_ETRS89,LONGITUD_WGS84,LATITUD_WGS84
1,Paseo Recoletos,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/paseo-recoletos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/paseo-recoletos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/paseo-recoletos/direccion-postal,633005,28004,Madrid,Comunidad de Madrid,Paseo Recoletos,3º41'27'' Oº,40º25'24'' N,40.4233333333333,-3.69083333333333,648,2011-03-07,"441302,8676","4474895,436",-3.6919264,40.42262
2,Carlos V,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/carlos-v,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/plaza-carlos-v,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/carlos-v/direccion-postal,264800,28012,Madrid,Comunidad de Madrid,Plaza Carlos V,3º41'25 Oº,"40º24'36"" N",40.41,-3.69027777777778,629,1998-12-01,"441328,186","4473395,505",-3.6914896,40.4091095
3,Plaza del Carmen,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/plaza-del-carmen,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/plaza-del-carmen,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/plaza-del-carmen/direccion-postal,145800,28013,Madrid,Comunidad de Madrid,Plaza Del Carmen,"3º42'17"" Oº","40º25'16"" N",40.4211111111111,-3.70472222222222,657,1999-11-01,"440346,3619","4474524,357",-3.7031662,40.4192091
4,Plaza de Espana,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/plaza-de-espana,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/plaza-de-espana,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/plaza-de-espana/direccion-postal,273600,28008,Madrid,Comunidad de Madrid,Plaza De Espana,"3º42'40"" Oº","40º25'40"" N",40.4277777777778,-3.71111111111111,637,1998-12-01,"439579,3291","4475049,263",-3.7122567,40.4238823
5,Barrio del Pilar,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/barrio-del-pilar,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/barrio-del-pilar,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/barrio-del-pilar/direccion-postal,514425,28029,Madrid,Comunidad de Madrid,Avenida De Monforte De Lemos,"3º42'55"" Oº","40º28'37"" N",40.4769444444444,-3.71527777777778,673,1999-06-07,"439689,0496","4481081,619",-3.7115364,40.4782322
6,Gregorio Maranon,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/gregorio-maranon,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/gregorio-maranon,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/gregorio-maranon/direccion-postal,153600,28010,Madrid,Comunidad de Madrid,Paseo De La Castellana,"3º41'22"" Oº","40º26'33"" N",40.4425,-3.68944444444444,669,1999-06-01,"441412,6622","4476553,971",-3.6907851,40.4375685
8,Escuelas Aguirre,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/escuelas-aguirre,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/escuelas-aguirre,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/escuelas-aguirre/direccion-postal,18900,28009,Madrid,Comunidad de Madrid,Calle De Alcala,"3º40'52"" Oº","40º25'32"" N",40.4255555555556,-3.68111111111111,672,1998-12-01,"442117,2366","4474770,696",-3.6823158,40.4215533
10,Cuatro Caminos,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/cuatro-caminos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cuatro-caminos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cuatro-caminos/direccion-postal,554550,28003,Madrid,Comunidad de Madrid,Avenida De Pablo Iglesias,"3º42'18"" Oº","40º26'38"" N",40.4438888888889,-3.705,699,1999-03-25,"440033,4632","4477450,211",-3.7071303,40.4455439
11,Ramon y Cajal,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/ramon-y-cajal,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/ramon-y-cajal,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/ramon-y-cajal/direccion-postal,610450,28002,Madrid,Comunidad de Madrid,Calle Del Principe De Vergara,"3º40'33"" Oº","40º27' 9"" N",40.4525,-3.67583333333333,708,1998-12-01,"442564,0457","4478088,595",-3.6773491,40.4514734
12,Manuel Becerra,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/manuel-becerra,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/manuel-becerra,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/manuel-becerra/direccion-postal,242000,28028,Madrid,Comunidad de Madrid,Calle Del Doctor Gomez Ulla,"3º40'02"" Oº","40º25'52"" N",40.4311111111111,-3.66722222222222,678,1998-12-01,"443289,3624","4475567,373",-3.6685709,40.4288108
13,Vallecas,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/vallecas,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/vallecas,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/vallecas/direccion-postal,75500,28018,Madrid,Comunidad de Madrid,Calle Del Arroyo Del Olivar,"3º40'03"" Oº","40º23'50"" N",40.3972222222222,-3.6675,677,1999-11-11,"444701,6871","4471043,01",-3.6515286,40.3881478
14,Fernandez Ladreda,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/fernandez-ladreda,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/fernandez-ladreda,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/fernandez-ladreda/direccion-postal,293200,28026,Madrid,Comunidad de Madrid,Plaza  Eliptica,"3º43'7,4"" Oº","40º23'5,8"" N",40.3847222222222,-3.71872222222222,605,2009-12-22,"438991,9161","4470741,548",-3.7187679,40.3850336
16,Arturo Soria,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/arturo-soria,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/arturo-soria,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/arturo-soria/direccion-postal,798700,28027,Madrid,Comunidad de Madrid,Calle Del Vizconde De Los Asilos,"3º38'15"" Oº","40º20'49,56"" N",40.3469444444444,-3.6375,698,1998-12-01,"445786,1729","4476796,019",-3.6392422,40.4400457
17,Villaverde,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/villaverde,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/villaverde,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/villaverde/direccion-postal,417200,28021,Madrid,Comunidad de Madrid,Calle De Juan Penalver,"3º42'47,98""Oº","40º20'49,6""N",40.3469444444444,-3.71305555555556,601,1998-12-01,"439420,7015","4466532,455",-3.7133167,40.347147
18,Farolillo,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/farolillo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/farolillo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/farolillo/direccion-postal,1903,28019,Madrid,Comunidad de Madrid,Calle Del Farolillo,"3º43'48"" Oº","40º23'44"" N",40.3955555555556,-3.73,625,1998-12-01,"437891,6961","4471832,769",-3.7318356,40.3947825
19,Alto Extremadura,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/alto-extremadura,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/alto-extremadura,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/alto-extremadura/direccion-postal,367300,28011,Madrid,Comunidad de Madrid,Calle De La Huerta De Castaneda,"3º44'16"" Oº","40º24'40"" N",40.4111111111111,-3.73777777777778,632,1998-12-01,"437050,0926","4473291,752",-3.7418959,40.4078624
20,Avda Moratalaz,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/avda-moratalaz,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avda-moratalaz,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avda-moratalaz/direccion-postal,522000,28030,Madrid,Comunidad de Madrid,Avenida De Moratalaz,"3º38'59"" Oº","40º24'25"" N",40.4069444444444,-3.64972222222222,671,1998-12-01,"445245,513","4473237,349",-3.6453104,40.4079517
24,Casa de Campo,http://datos.linkeddata.es/madrid/recurso/urbanismo-infraestructuras/direccion-postal/casa-de-campo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/casa-de-campo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/casa-de-campo/direccion-postal,905219,28011,Madrid,Comunidad de Madrid,Carretera Del Teleferico,"3º44'56"" Oº","40º25'18"" N",40.4216666666667,-3.74888888888889,645,1998-12-01,"436598,5637","4474571,618",-3.7473445,40.4193577
