_id,Nombre_Estacion,URI_DireccionEstacion,URI_IntervaloNocturno,URI_IntervaloDiurno,URI_IntervaloTotal,URI_IntervaloTarde,HashObservacion,URI_LAEQ_N,URI_LAEQ_E,URI_LAEQ_T,URI_LAEQ_D,URI_LAEQ,URI_Estacion,LAeq,LAeq_D,LAeq_T,LAeq_E,LAeq_N,Fecha
1,Cadiz 3,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3/direccion-postal,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,07d26f84e47d935649e4bb2bd8ae9507,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/07d26f84e47d935649e4bb2bd8ae9507-LAEQ-N,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/07d26f84e47d935649e4bb2bd8ae9507-LAEQ-E,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/07d26f84e47d935649e4bb2bd8ae9507-LAEQ-T,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/07d26f84e47d935649e4bb2bd8ae9507-LAEQ-D,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/07d26f84e47d935649e4bb2bd8ae9507-LAEQ,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3,64.7,66.4,67.0,64.0,57.2,2020-11-17
2,Cadiz 3,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3/direccion-postal,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,a15f33eb89143171c632618bf41b789b,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/a15f33eb89143171c632618bf41b789b-LAEQ-N,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/a15f33eb89143171c632618bf41b789b-LAEQ-E,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/a15f33eb89143171c632618bf41b789b-LAEQ-T,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/a15f33eb89143171c632618bf41b789b-LAEQ-D,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/a15f33eb89143171c632618bf41b789b-LAEQ,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3,64.4,65.9,67.6,64.7,59.0,2020-11-18
3,Cadiz 3,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3/direccion-postal,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,6943bc28f216a0659eed1454faf73f12,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/6943bc28f216a0659eed1454faf73f12-LAEQ-N,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/6943bc28f216a0659eed1454faf73f12-LAEQ-E,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/6943bc28f216a0659eed1454faf73f12-LAEQ-T,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/6943bc28f216a0659eed1454faf73f12-LAEQ-D,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/6943bc28f216a0659eed1454faf73f12-LAEQ,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3,64.3,66.0,66.8,63.8,57.5,2020-11-19
4,Cadiz 3,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3/direccion-postal,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,cbb2022a48a27ce116539400b23a2b3d,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/cbb2022a48a27ce116539400b23a2b3d-LAEQ-N,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/cbb2022a48a27ce116539400b23a2b3d-LAEQ-E,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/cbb2022a48a27ce116539400b23a2b3d-LAEQ-T,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/cbb2022a48a27ce116539400b23a2b3d-LAEQ-D,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/cbb2022a48a27ce116539400b23a2b3d-LAEQ,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3,65.0,66.4,68.1,66.3,59.2,2020-11-20
5,Cadiz 3,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3/direccion-postal,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,07e98a4a69bcb07621c688e009ae4be1,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/07e98a4a69bcb07621c688e009ae4be1-LAEQ-N,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/07e98a4a69bcb07621c688e009ae4be1-LAEQ-E,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/07e98a4a69bcb07621c688e009ae4be1-LAEQ-T,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/07e98a4a69bcb07621c688e009ae4be1-LAEQ-D,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/07e98a4a69bcb07621c688e009ae4be1-LAEQ,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3,64.5,65.8,68.0,65.9,59.7,2020-11-21
6,Cadiz 3,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3/direccion-postal,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,fe84e42d2f1bcd17df01e93c2f5510d2,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/fe84e42d2f1bcd17df01e93c2f5510d2-LAEQ-N,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/fe84e42d2f1bcd17df01e93c2f5510d2-LAEQ-E,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/fe84e42d2f1bcd17df01e93c2f5510d2-LAEQ-T,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/fe84e42d2f1bcd17df01e93c2f5510d2-LAEQ-D,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/fe84e42d2f1bcd17df01e93c2f5510d2-LAEQ,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3,62.5,63.8,66.1,63.6,58.0,2020-11-22
7,Cadiz 3,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3/direccion-postal,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,a2e0ac29e721d790e10cebd9bed257de,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/a2e0ac29e721d790e10cebd9bed257de-LAEQ-N,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/a2e0ac29e721d790e10cebd9bed257de-LAEQ-E,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/a2e0ac29e721d790e10cebd9bed257de-LAEQ-T,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/a2e0ac29e721d790e10cebd9bed257de-LAEQ-D,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/a2e0ac29e721d790e10cebd9bed257de-LAEQ,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3,63.9,65.5,66.4,64.0,57.0,2020-11-23
8,Cadiz 3,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3/direccion-postal,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,84bc20b759b103d87d1033ddbe49758c,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/84bc20b759b103d87d1033ddbe49758c-LAEQ-N,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/84bc20b759b103d87d1033ddbe49758c-LAEQ-E,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/84bc20b759b103d87d1033ddbe49758c-LAEQ-T,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/84bc20b759b103d87d1033ddbe49758c-LAEQ-D,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/84bc20b759b103d87d1033ddbe49758c-LAEQ,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3,65.5,67.3,67.8,64.1,58.1,2020-11-24
9,Cadiz 3,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3/direccion-postal,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,91a44fdc0820f229cab3155c132417bd,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/91a44fdc0820f229cab3155c132417bd-LAEQ-N,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/91a44fdc0820f229cab3155c132417bd-LAEQ-E,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/91a44fdc0820f229cab3155c132417bd-LAEQ-T,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/91a44fdc0820f229cab3155c132417bd-LAEQ-D,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/91a44fdc0820f229cab3155c132417bd-LAEQ,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3,64.4,66.1,67.1,64.4,57.8,2020-11-25
10,Cadiz 3,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3/direccion-postal,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/T,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,d9556929aa18615da3c8419e010edc23,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/d9556929aa18615da3c8419e010edc23-LAEQ-N,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/d9556929aa18615da3c8419e010edc23-LAEQ-E,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/d9556929aa18615da3c8419e010edc23-LAEQ-T,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/d9556929aa18615da3c8419e010edc23-LAEQ-D,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/observacion/d9556929aa18615da3c8419e010edc23-LAEQ,http://datos.linkeddata.es/valencia/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cadiz-3,64.2,65.7,67.2,64.1,58.5,2020-09-17
