gid,tipo_insta,estado,tipo_estac,Calle,URI_DireccionEstacion,URI_Noche,URI_IntervaloDiurno,URI_IntervaloNocturno,URI_IntervaloTarde,URI_Tarde,URI_Dia,URI_Direccion,Localidad,Region,Tramo,num_instal,URI_Estacion,fecha,OID_,DIA,TARDE,NOCHE,IMD
250,EA,Instalado,Anual,Ronda De Boltana,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/ronda-de-boltana/direccion-postal,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/f17c7189ea1fd009961eeadb1f6fb2de-NOCHE,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/f6f0fdf36da3089f15dc8167796e3998-TARDE,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/bdc70970cc05b61ffebe9360d9fa9867-DIA,http://datos.linkeddata.es/zaragoza/recurso/urbanismo-infraestructuras/direccion-postal/ronda-de-boltana,Zaragoza,Comunidad de Aragon,Carretera De Huesca-Calle La Fragua,571,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/571,27-10-2015,540,0.06330,0.04940,0.00530,"5845,00000"
251,EA,Instalado,Anual,Ronda De Boltana,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/ronda-de-boltana/direccion-postal,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/0e24bff13cef762a56783303acb40370-NOCHE,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/0e0ca162e2a88535cab6a266772da052-TARDE,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/355670edd85e5137060adb99b11485e5-DIA,http://datos.linkeddata.es/zaragoza/recurso/urbanismo-infraestructuras/direccion-postal/ronda-de-boltana,Zaragoza,Comunidad de Aragon,Calle La Fragua-Carretera De Huesca,572,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/572,27-10-2015,541,0.06230,0.04390,0.00960,"5649,00000"
252,EA,Instalado,Anual,Avenida Academia General Militar,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avenida-academia-general-militar/direccion-postal,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/c74cb4596d0046965320469576705226-NOCHE,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/90145c2962c65b268faf4691c9ac7a5c-TARDE,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/9a25eac85f33435189d60eed466a09ea-DIA,http://datos.linkeddata.es/zaragoza/recurso/urbanismo-infraestructuras/direccion-postal/avenida-academia-general-militar,Zaragoza,Comunidad de Aragon,Avenida Las Majas De Goya-Carretera De Huesca,578,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/578,27-10-2015,547,0.06450,0.04000,0.00830,"9428,00000"
253,EA,Instalado,Anual,Avenida Academia General Militar,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avenida-academia-general-militar/direccion-postal,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/19b036e7042bec4e389aeb2feef4d763-NOCHE,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/b9287a8c88ea2e33664a2f90581289fd-TARDE,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/f47515a549895adc1a935f7c449a3a08-DIA,http://datos.linkeddata.es/zaragoza/recurso/urbanismo-infraestructuras/direccion-postal/avenida-academia-general-militar,Zaragoza,Comunidad de Aragon,Carretera De Huesca-Avenida Las Majas De Goya,577,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/577,27-10-2015,546,0.06400,0.04750,0.00530,"7864,00000"
254,EA,Instalado,Anual,Avenida Las Majas De Goya,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avenida-las-majas-de-goya/direccion-postal,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/d83c1392355407370868a364a65b1c68-NOCHE,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/bf15d3ab3daa8a2a3cee3fe4d026c700-TARDE,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/ee0c073db7b2bc51b10653689ba92034-DIA,http://datos.linkeddata.es/zaragoza/recurso/urbanismo-infraestructuras/direccion-postal/avenida-las-majas-de-goya,Zaragoza,Comunidad de Aragon,Avenida Academia General Militar-Carretera De Huesca,575,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/575,27-10-2015,544,0.06040,0.05660,0.00600,"1648,00000"
255,EA,Instalado,Anual,Avenida Las Majas De Goya,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avenida-las-majas-de-goya/direccion-postal,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/317e98008e515ec12b05594a376d351e-NOCHE,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/a428c51066ec45f596b71d570218c0fa-TARDE,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/59a18de6f4501d2b4db30b95d316d228-DIA,http://datos.linkeddata.es/zaragoza/recurso/urbanismo-infraestructuras/direccion-postal/avenida-las-majas-de-goya,Zaragoza,Comunidad de Aragon,Carretera De Huesca-Avenida Academia General Militar,576,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/576,27-10-2015,545,0.06670,0.03340,0.00820,"2630,00000"
256,EA,Instalado,Anual,Avenida Las Majas De Goya,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avenida-las-majas-de-goya/direccion-postal,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/6fb9e5f14105ac845b60c6b4d8fca454-NOCHE,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/eceac14d63951e804fcc1a7fd92de35b-TARDE,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/bc2e170cf280b6a8f71a01eee44e0d7c-DIA,http://datos.linkeddata.es/zaragoza/recurso/urbanismo-infraestructuras/direccion-postal/avenida-las-majas-de-goya,Zaragoza,Comunidad de Aragon,Carretera De Huesca-Paseo Rafael Esteve Vilella,573,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/573,27-10-2015,542,0.06250,0.05030,0.00610,"2431,00000"
257,EA,Instalado,Anual,Avenida Las Majas De Goya,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avenida-las-majas-de-goya/direccion-postal,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/5cfe012fc011a15018845a69ca32fdd5-NOCHE,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/eedfce7495df6c7e95fdf23874ecdc65-TARDE,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/fdfa10b434f927815ac74de2b75f5669-DIA,http://datos.linkeddata.es/zaragoza/recurso/urbanismo-infraestructuras/direccion-postal/avenida-las-majas-de-goya,Zaragoza,Comunidad de Aragon,Paseo Rafael Esteve Vilella-Carretera De Huesca,574,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/574,27-10-2015,543,0.06560,0.03780,0.00770,"3027,00000"
258,EA,Instalado,Anual,Avenida Las Majas De Goya,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avenida-las-majas-de-goya/direccion-postal,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/6951f305916d1100e1e0e448250ad4f4-NOCHE,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/6951f305916d1100e1e0e448250ad4f4-TARDE,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/6951f305916d1100e1e0e448250ad4f4-DIA,http://datos.linkeddata.es/zaragoza/recurso/urbanismo-infraestructuras/direccion-postal/avenida-las-majas-de-goya,Zaragoza,Comunidad de Aragon,Calle Julian Gallego-Ronda De Boltana,563,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/563,27-10-2015,0,0.00000,0.00000,0.00000,"0,00000"
259,EA,Instalado,Anual,Avenida Las Majas De Goya,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avenida-las-majas-de-goya/direccion-postal,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/6951f305916d1100e1e0e448250ad4f4-NOCHE,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/D,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/N,http://vocab.linkeddata.es/datosabiertos/kos/medio-ambiente/contaminacion-acustica/tipo-intervalo-referencia/E,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/6951f305916d1100e1e0e448250ad4f4-TARDE,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/observacion/6951f305916d1100e1e0e448250ad4f4-DIA,http://datos.linkeddata.es/zaragoza/recurso/urbanismo-infraestructuras/direccion-postal/avenida-las-majas-de-goya,Zaragoza,Comunidad de Aragon,Ronda De Boltana-Calle Julian Gallego,564,http://datos.linkeddata.es/zaragoza/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/564,27-10-2015,0,0.00000,0.00000,0.00000,"0,00000"
