Id_Estacion,Nombre_Estación,URI_Estacion,Fecha,tipo,Hash_Observacion,URI_Observacion,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo Recoletos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/paseo-recoletos,1/1/2021,T,3135268ab00038d2043ea8f536cc4b80,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/3135268ab00038d2043ea8f536cc4b80,063.3,070.9,067.5,058.7,049.2,041.2
2,Carlos V,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/carlos-v,1/1/2021,T,f1ffb7c5525cf158bfdc38910c73190f,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/f1ffb7c5525cf158bfdc38910c73190f,066.0,072.3,068.6,063.9,056.7,051.2
3,Plaza del Carmen,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/plaza-del-carmen,1/1/2021,T,0b74a1871c599fe04216cb6f769f731d,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/0b74a1871c599fe04216cb6f769f731d,066.7,067.9,057.4,048.6,041.3,038.3
5,Barrio del Pilar,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/barrio-del-pilar,1/1/2021,T,d6db8091d91e7dcab665eaf1b55c968a,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/d6db8091d91e7dcab665eaf1b55c968a,065.0,071.1,062.2,056.0,041.1,037.1
6,Gregorio Maranon,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/gregorio-maranon,1/1/2021,T,aa2604eca778254cca1d8d74e980ab1e,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/aa2604eca778254cca1d8d74e980ab1e,065.6,072.9,068.5,061.8,051.3,040.5
8,Escuelas Aguirre,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/escuelas-aguirre,1/1/2021,T,e793fb974930e058ff42817cd9632115,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/e793fb974930e058ff42817cd9632115,063.5,070.6,066.7,061.8,055.3,049.0
10,Cuatro Caminos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cuatro-caminos,1/1/2021,T,6b8dc8b3b71a92eb74a784c8007521a2,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/6b8dc8b3b71a92eb74a784c8007521a2,065.3,072.0,064.8,055.7,047.1,045.7
11,Ramon y Cajal,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/ramon-y-cajal,1/1/2021,T,287b3ef6c44381454c5f4ed058a373f3,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/287b3ef6c44381454c5f4ed058a373f3,065.1,072.4,068.2,060.2,044.6,037.5
12,Manuel Becerra,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/manuel-becerra,1/1/2021,T,37fb7a661d4aa0d69b324a083029fb46,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/37fb7a661d4aa0d69b324a083029fb46,062.9,070.9,062.2,056.8,047.2,037.7
13,Vallecas,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/vallecas,1/1/2021,T,3e84368acbd296b174e55768ecded68e,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/3e84368acbd296b174e55768ecded68e,073.8,075.2,059.3,049.9,040.0,035.4
14,Fernandez Ladreda,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/fernandez-ladreda,1/1/2021,T,f0cf68765d541765a970dadc05ab3b12,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/f0cf68765d541765a970dadc05ab3b12,063.0,071.2,064.7,060.3,052.3,045.1
16,Arturo Soria,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/arturo-soria,1/1/2021,T,29eab72c878674793f2232beffdbba69,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/29eab72c878674793f2232beffdbba69,061.1,069.8,064.7,054.7,038.1,034.1
17,Villaverde,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/villaverde,1/1/2021,T,acf1736dff6addc258594da2cd9d45f3,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/acf1736dff6addc258594da2cd9d45f3,066.9,073.1,056.8,049.4,040.5,036.2
18,Farolillo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/farolillo,1/1/2021,T,c781233be0177e7c700f9db7d066b114,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/c781233be0177e7c700f9db7d066b114,080.9,079.6,057.0,047.1,041.3,039.3
19,Alto Extremadura,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/alto-extremadura,1/1/2021,T,e1fd07a7ec1bab6da6a2cafd431c3ae7,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/e1fd07a7ec1bab6da6a2cafd431c3ae7,058.4,067.3,060.3,052.5,042.5,032.8
20,Avda Moratalaz,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avda-moratalaz,1/1/2021,T,cce55ccc048774ece1f96148a8041cd0,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/cce55ccc048774ece1f96148a8041cd0,061.0,069.2,061.4,055.1,041.1,037.2
24,Casa de Campo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/casa-de-campo,1/1/2021,T,da778341f4ffb55b13e59fd3715946f9,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/da778341f4ffb55b13e59fd3715946f9,046.7,057.4,048.8,041.7,037.8,036.2
